symbol,name,exchange,region,currency,type
PNW,Pinnacle West Capital Corporation,NYQ,us_market,USD,EQUITY
PNC,"The PNC Financial Services Group, Inc.",NYQ,us_market,USD,EQUITY
POOL,Pool Corporation,NMS,us_market,USD,EQUITY
PPG,"PPG Industries, Inc.",NYQ,us_market,USD,EQUITY
PPL,PPL Corporation,NYQ,us_market,USD,EQUITY
PFG,"Principal Financial Group, Inc.",NMS,us_market,USD,EQUITY
PG,The Procter & Gamble Company,NYQ,us_market,USD,EQUITY
PGR,The Progressive Corporation,NYQ,us_market,USD,EQUITY
PLD,"Prologis, Inc.",NYQ,us_market,USD,EQUITY
PRU,"Prudential Financial, Inc.",NYQ,us_market,USD,EQUITY
PEG,Public Service Enterprise Group Incorporated,NYQ,us_market,USD,EQUITY
PTC,PTC Inc.,NMS,us_market,USD,EQUITY
PSA,Public Storage,NYQ,us_market,USD,EQUITY
PHM,"PulteGroup, Inc.",NYQ,us_market,USD,EQUITY
PWR,"Quanta Services, Inc.",NYQ,us_market,USD,EQUITY
QCOM,QUALCOMM Incorporated,NMS,us_market,USD,EQUITY
DGX,Quest Diagnostics Incorporated,NYQ,us_market,USD,EQUITY
RL,Ralph Lauren Corporation,NYQ,us_market,USD,EQUITY
RJF,"Raymond James Financial, Inc.",NYQ,us_market,USD,EQUITY
RTX,RTX Corporation,NYQ,us_market,USD,EQUITY
O,Realty Income Corporation,NYQ,us_market,USD,EQUITY
REG,Regency Centers Corporation,NMS,us_market,USD,EQUITY
REGN,"Regeneron Pharmaceuticals, Inc.",NMS,us_market,USD,EQUITY
RF,Regions Financial Corporation,NYQ,us_market,USD,EQUITY
RSG,"Republic Services, Inc.",NYQ,us_market,USD,EQUITY
RMD,ResMed Inc.,NYQ,us_market,USD,EQUITY
RVTY,"Revvity, Inc.",NYQ,us_market,USD,EQUITY
ROK,"Rockwell Automation, Inc.",NYQ,us_market,USD,EQUITY
ROL,"Rollins, Inc.",NYQ,us_market,USD,EQUITY
ROP,"Roper Technologies, Inc.",NMS,us_market,USD,EQUITY
ROST,"Ross Stores, Inc.",NMS,us_market,USD,EQUITY
RCL,Royal Caribbean Cruises Ltd.,NYQ,us_market,USD,EQUITY
SPGI,S&P Global Inc.,NYQ,us_market,USD,EQUITY
CRM,"Salesforce, Inc.",NYQ,us_market,USD,EQUITY
SBAC,SBA Communications Corporation,NMS,us_market,USD,EQUITY
SLB,Schlumberger Limited,NYQ,us_market,USD,EQUITY
STX,Seagate Technology Holdings plc,NMS,us_market,USD,EQUITY
SRE,Sempra,NYQ,us_market,USD,EQUITY
NOW,"ServiceNow, Inc.",NYQ,us_market,USD,EQUITY
